MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,...33
10,23,3,DL,N989AT,2669,12448,JAN,"Jackson/Vicksburg, MS",10397,ATL,"Atlanta, GA",1343,1334,0,0,1300-1359,1608,1550,0,1600-1659,0,,85,76,341,2,,,,,,
10,1,2,WN,N243WN,1339,14679,SAN,"San Diego, CA",14893,SMF,"Sacramento, CA",1235,1232,0,0,1200-1259,1410,1359,0,1400-1459,0,,95,87,480,2,,,,,,
10,30,3,UA,N893UA,591,11278,DCA,"Washington, DC",13930,ORD,"Chicago, IL",1445,1437,0,0,1400-1459,1559,1538,0,1500-1559,0,,134,121,612,3,,,,,,
10,18,5,DL,N880DN,1536,10397,ATL,"Atlanta, GA",13487,MSP,"Minneapolis, MN",0905,0858,0,0,0900-0959,1040,1031,0,1000-1059,0,,155,153,907,4,,,,,,
10,21,1,AA,N938NN,2949,11298,DFW,"Dallas/Fort Worth, TX",12889,LAS,"Las Vegas, NV",1401,1401,0,0,1400-1459,1454,1519,25,1400-1459,0,,173,198,1055,5,0,0,25,0,0,
10,19,6,WN,N8665D,2614,12892,LAX,"Los Angeles, CA",10423,AUS,"Austin, TX",1615,1619,4,0,1600-1659,2105,2052,0,2100-2159,0,,170,153,1242,5,,,,,,
10,12,6,OH,N547NN,5633,14122,PIT,"Pittsburgh, PA",11057,CLT,"Charlotte, NC",1518,1512,0,0,1500-1559,1700,1641,0,1700-1759,0,,102,89,366,2,,,,,,
10,16,3,AA,N930AN,2281,11298,DFW,"Dallas/Fort Worth, TX",14683,SAT,"San Antonio, TX",2254,2249,0,0,2200-2259,2358,0004,6,2300-2359,0,,64,75,247,1,,,,,,
10,14,1,WN,N435WN,797,11259,DAL,"Dallas, TX",13891,ONT,"Ontario, CA",1525,1520,0,0,1500-1559,1635,1632,0,1600-1659,0,,190,192,1200,5,,,,,,
10,13,7,OO,N933EV,5762,11638,FAT,"Fresno, CA",12892,LAX,"Los Angeles, CA",0615,0612,0,0,0600-0659,0735,0717,0,0700-0759,0,,80,65,209,1,,,,,,
10,21,1,WN,N408WN,1159,11292,DEN,"Denver, CO",10800,BUR,"Burbank, CA",2015,2219,124,1,2000-2059,2150,2336,106,2100-2159,0,,155,137,850,4,102,0,0,0,4,
10,20,7,NK,N902NK,1025,10721,BOS,"Boston, MA",10821,BWI,"Baltimore, MD",0725,0748,23,1,0700-0759,0902,0937,35,0900-0959,0,,97,109,369,2,23,0,12,0,0,
10,6,7,WN,N254WN,3675,13244,MEM,"Memphis, TN",15304,TPA,"Tampa, FL",1100,1056,0,0,1100-1159,1355,1359,4,1300-1359,0,,115,123,655,3,,,,,,
10,23,3,AA,N757UW,1059,12889,LAS,"Las Vegas, NV",14107,PHX,"Phoenix, AZ",0816,0809,0,0,0800-0859,0933,0926,0,0900-0959,0,,77,77,255,2,,,,,,
10,28,1,UA,N17128,2044,14771,SFO,"San Francisco, CA",11618,EWR,"Newark, NJ",1515,1503,0,0,1500-1559,2336,2312,0,2300-2359,0,,321,309,2565,11,,,,,,
10,21,1,UA,N488UA,204,12889,LAS,"Las Vegas, NV",11618,EWR,"Newark, NJ",1600,1555,0,0,1600-1659,2344,2329,0,2300-2359,0,,284,274,2227,9,,,,,,
10,26,6,OO,N752EV,3289,11298,DFW,"Dallas/Fort Worth, TX",14696,SBN,"South Bend, IN",1230,1317,47,1,1200-1259,1548,1629,41,1500-1559,0,,138,132,846,4,41,0,0,0,0,
10,4,5,WN,N231WN,423,14107,PHX,"Phoenix, AZ",13487,MSP,"Minneapolis, MN",1915,1913,0,0,1900-1959,0005,2352,0,0001-0559,0,,170,159,1276,6,,,,,,
10,28,1,OO,N168SY,5954,11066,CMH,"Columbus, OH",13930,ORD,"Chicago, IL",1245,1236,0,0,1200-1259,1310,1302,0,1300-1359,0,,85,86,296,2,,,,,,
10,15,2,OO,N426SW,4113,14869,SLC,"Salt Lake City, UT",14262,PSP,"Palm Springs, CA",1115,1113,0,0,1100-1159,1209,1154,0,1200-1259,0,,114,101,541,3,,,,,,
10,3,4,YX,N639RW,3575,11618,EWR,"Newark, NJ",14122,PIT,"Pittsburgh, PA",1935,2008,33,1,1900-1959,2108,2137,29,2100-2159,0,,93,89,319,2,0,0,0,0,29,
10,9,3,MQ,N680AE,3968,11337,DLH,"Duluth, MN",13930,ORD,"Chicago, IL",1230,1219,0,0,1200-1259,1420,1357,0,1400-1459,0,,110,98,397,2,,,,,,
10,28,1,DL,N3773D,949,11986,GRR,"Grand Rapids, MI",13487,MSP,"Minneapolis, MN",1825,1826,1,0,1800-1859,1905,1848,0,1900-1959,0,,100,82,408,2,,,,,,
10,31,4,AA,N172AJ,2194,11298,DFW,"Dallas/Fort Worth, TX",12478,JFK,"New York, NY",1326,1325,0,0,1300-1359,1800,1757,0,1800-1859,0,,214,212,1391,6,,,,,,
10,20,7,OO,N909EV,5581,13433,MOT,"Minot, ND",11292,DEN,"Denver, CO",1455,1525,30,1,1400-1459,1557,1618,21,1500-1559,0,,122,113,604,3,0,0,21,0,0,
10,22,2,WN,N8510E,444,15016,STL,"St. Louis, MO",13487,MSP,"Minneapolis, MN",1955,2057,62,1,1900-1959,2125,2219,54,2100-2159,0,,90,82,448,2,0,0,0,0,54,
10,24,4,NK,N651NK,2002,10821,BWI,"Baltimore, MD",11697,FLL,"Fort Lauderdale, FL",1527,1524,0,0,1500-1559,1801,1747,0,1800-1859,0,,154,143,925,4,,,,,,
